Strata,Match_Type,Year,N_Pre_Controle,N_Pre_Tratado,N_Post_Controle,N_Post_Tratado,DiD_Ext_Estimate,DiD_Ext_SE,DiD_Ext_PValue,DiD_Int_Estimate,DiD_Int_SE,DiD_Int_PValue
S1_Male,Mahalanobis,2023,9226,70,70,70,0.1631,0.081,0.0444,0.4749,0.2749,0.0844
S1_Male,Logit,1997,25811,89,89,89,0.1508,0.0918,0.101,0.4767,0.2847,0.0945
S1_Male,Logit,2007,12658,127,127,127,0.1508,0.0918,0.101,0.4767,0.2847,0.0945
S1_Male,Logit,2017,12031,111,111,111,0.1508,0.0918,0.101,0.4767,0.2847,0.0945
S1_Male,Logit,2023,9226,70,70,70,0.1508,0.0918,0.101,0.4767,0.2847,0.0945
S1_Female,Mahalanobis,1997,34839,102,102,102,0.1564,0.0688,0.0233,0.3719,0.2229,0.0955
S1_Female,Mahalanobis,2007,19867,210,210,210,0.1564,0.0688,0.0233,0.3719,0.2229,0.0955
S1_Female,Mahalanobis,2017,17585,141,141,141,0.1564,0.0688,0.0233,0.3719,0.2229,0.0955
S1_Female,Mahalanobis,2023,13655,111,111,111,0.1564,0.0688,0.0233,0.3719,0.2229,0.0955
S1_Female,Logit,1997,34839,102,102,102,0.1067,0.0779,0.1709,0.3926,0.2295,0.0874
S1_Female,Logit,2007,19867,210,210,210,0.1067,0.0779,0.1709,0.3926,0.2295,0.0874
S1_Female,Logit,2017,17585,141,141,141,0.1067,0.0779,0.1709,0.3926,0.2295,0.0874
S1_Female,Logit,2023,13655,111,111,111,0.1067,0.0779,0.1709,0.3926,0.2295,0.0874
S2_Male,Mahalanobis,1997,2793,7,7,7,0.1244,0.082,0.1297,0.4172,0.3157,0.187
S2_Male,Mahalanobis,2007,7500,88,88,88,0.1244,0.082,0.1297,0.4172,0.3157,0.187
S2_Male,Mahalanobis,2017,7251,72,72,72,0.1244,0.082,0.1297,0.4172,0.3157,0.187
